,precision,recall,f1-score,support
Công đoàn,0.0,0.0,0.0,0.0
Giáo dục,0.8278260869565217,0.952,0.8855813953488372,500.0
Giải trí,0.8455598455598455,0.876,0.8605108055009824,500.0
Khoa học,0.5,0.582,0.5378927911275416,500.0
Kinh doanh,0.45759162303664924,0.874,0.6006872852233677,500.0
Pháp luật,0.6711409395973155,0.8,0.7299270072992701,500.0
Sức khỏe,0.8601134215500945,0.91,0.8843537414965986,500.0
Thế giới,0.955,0.382,0.5457142857142857,500.0
Thể thao,0.9774127310061602,0.952,0.9645390070921985,500.0
Thời sự,0.6042780748663101,0.226,0.3289665211062591,500.0
Xe,0.8337408312958435,0.682,0.7502750275027503,500.0
Xã hội,0.0,0.0,0.0,0.0
Đời sống,0.7099236641221374,0.558,0.6248600223964166,500.0
accuracy,0.7085454545454546,0.7085454545454546,0.7085454545454546,0.7085454545454546
macro avg,0.6340451706146829,0.5995384615384616,0.5933313761391159,5500.0
weighted avg,0.7493261107264435,0.7085454545454546,0.7012098081644098,5500.0
