ground_truth,prediction,count,error_rate_within_class
Khoa học,Kinh doanh,149,0.7129186602870813
Thế giới,Khoa học,115,0.37216828478964403
Thời sự,Kinh doanh,100,0.25839793281653745
Thời sự,Pháp luật,97,0.25064599483204136
Xe,Kinh doanh,90,0.5660377358490566
Thế giới,Kinh doanh,75,0.24271844660194175
Pháp luật,Kinh doanh,57,0.57
Đời sống,Khoa học,46,0.2081447963800905
Đời sống,Giải trí,46,0.2081447963800905
Thời sự,Xe,38,0.09819121447028424
Thời sự,Đời sống,37,0.09560723514211886
Xe,Khoa học,36,0.22641509433962265
Thời sự,Khoa học,35,0.09043927648578812
Thế giới,Pháp luật,28,0.09061488673139159
Kinh doanh,Khoa học,25,0.3968253968253968
Thế giới,Thời sự,24,0.07766990291262135
Đời sống,Sức khỏe,24,0.1085972850678733
Thời sự,Công đoàn,24,0.06201550387596899
Đời sống,Kinh doanh,22,0.09954751131221719
Đời sống,Pháp luật,22,0.09954751131221719
Thời sự,Giáo dục,20,0.05167958656330749
Đời sống,Giáo dục,20,0.09049773755656108
Thời sự,Sức khỏe,20,0.05167958656330749
Thế giới,Giải trí,19,0.061488673139158574
Khoa học,Pháp luật,17,0.08133971291866028
Khoa học,Giáo dục,16,0.07655502392344497
Thế giới,Đời sống,16,0.05177993527508091
Đời sống,Xe,15,0.06787330316742081
Kinh doanh,Đời sống,15,0.23809523809523808
Pháp luật,Thời sự,14,0.14
Đời sống,Thời sự,14,0.06334841628959276
Sức khỏe,Khoa học,14,0.3111111111111111
Thế giới,Sức khỏe,13,0.042071197411003236
Giải trí,Đời sống,13,0.20967741935483872
Giải trí,Giáo dục,13,0.20967741935483872
Sức khỏe,Kinh doanh,13,0.28888888888888886
Pháp luật,Công đoàn,12,0.12
Thời sự,Xã hội,11,0.028423772609819122
Thế giới,Giáo dục,11,0.03559870550161812
Xe,Đời sống,10,0.06289308176100629
Giải trí,Khoa học,10,0.16129032258064516
Xe,Pháp luật,9,0.05660377358490566
Xe,Thời sự,9,0.05660377358490566
Giải trí,Pháp luật,9,0.14516129032258066
Giáo dục,Đời sống,9,0.375
Thế giới,Xe,8,0.025889967637540454
Giáo dục,Pháp luật,8,0.3333333333333333
Giải trí,Thời sự,6,0.0967741935483871
Sức khỏe,Đời sống,6,0.13333333333333333
Giải trí,Kinh doanh,6,0.0967741935483871
Sức khỏe,Giáo dục,5,0.1111111111111111
Kinh doanh,Giáo dục,5,0.07936507936507936
Pháp luật,Khoa học,5,0.05
Pháp luật,Xe,5,0.05
Thể thao,Giáo dục,5,0.20833333333333334
Thể thao,Kinh doanh,5,0.20833333333333334
Thể thao,Sức khỏe,4,0.16666666666666666
Kinh doanh,Pháp luật,4,0.06349206349206349
Kinh doanh,Xã hội,4,0.06349206349206349
Đời sống,Thể thao,4,0.01809954751131222
Khoa học,Xã hội,4,0.019138755980861243
Khoa học,Đời sống,4,0.019138755980861243
Khoa học,Công đoàn,4,0.019138755980861243
Giáo dục,Sức khỏe,3,0.125
Kinh doanh,Thời sự,3,0.047619047619047616
Giải trí,Sức khỏe,3,0.04838709677419355
Khoa học,Thể thao,3,0.014354066985645933
Khoa học,Giải trí,3,0.014354066985645933
Thể thao,Khoa học,3,0.125
Đời sống,Xã hội,3,0.013574660633484163
Sức khỏe,Giải trí,3,0.06666666666666667
Khoa học,Thế giới,3,0.014354066985645933
Khoa học,Sức khỏe,3,0.014354066985645933
Đời sống,Công đoàn,3,0.013574660633484163
Thời sự,Thế giới,3,0.007751937984496124
Thể thao,Giải trí,3,0.125
Pháp luật,Đời sống,2,0.02
Đời sống,Thế giới,2,0.00904977375565611
Thể thao,Đời sống,2,0.08333333333333333
Thời sự,Giải trí,2,0.00516795865633075
Xe,Giáo dục,2,0.012578616352201259
Khoa học,Thời sự,2,0.009569377990430622
Kinh doanh,Công đoàn,2,0.031746031746031744
Pháp luật,Giáo dục,2,0.02
Pháp luật,Giải trí,2,0.02
Kinh doanh,Sức khỏe,2,0.031746031746031744
Giáo dục,Khoa học,2,0.08333333333333333
Giáo dục,Thời sự,1,0.041666666666666664
Giáo dục,Kinh doanh,1,0.041666666666666664
Kinh doanh,Thể thao,1,0.015873015873015872
Kinh doanh,Xe,1,0.015873015873015872
Kinh doanh,Giải trí,1,0.015873015873015872
Khoa học,Xe,1,0.004784688995215311
Giải trí,Xã hội,1,0.016129032258064516
Giải trí,Thể thao,1,0.016129032258064516
Sức khỏe,Thời sự,1,0.022222222222222223
Sức khỏe,Pháp luật,1,0.022222222222222223
Thể thao,Thế giới,1,0.041666666666666664
Thể thao,Pháp luật,1,0.041666666666666664
Sức khỏe,Xã hội,1,0.022222222222222223
Pháp luật,Sức khỏe,1,0.01
Sức khỏe,Thể thao,1,0.022222222222222223
Xe,Giải trí,1,0.006289308176100629
Xe,Thể thao,1,0.006289308176100629
Xe,Sức khỏe,1,0.006289308176100629
