,precision,recall,f1-score,support
Công đoàn,1.0,0.5,0.6666666666666666,6.0
Giáo dục,0.9259259259259259,0.9493670886075949,0.9375,79.0
Giải trí,0.875,0.9333333333333333,0.9032258064516129,15.0
Khoa học,0.8701298701298701,0.8701298701298701,0.8701298701298701,77.0
Kinh doanh,0.8914285714285715,0.9397590361445783,0.9149560117302052,166.0
Pháp luật,0.68,0.7727272727272727,0.723404255319149,22.0
Sức khỏe,0.7931034482758621,0.8214285714285714,0.8070175438596491,28.0
Thế giới,0.8888888888888888,0.5,0.64,16.0
Thể thao,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
Thời sự,0.6521739130434783,0.5769230769230769,0.6122448979591837,26.0
Xe,0.6,1.0,0.75,3.0
Xã hội,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
Đời sống,0.6111111111111112,0.5238095238095238,0.5641025641025641,21.0
accuracy,0.8501026694045175,0.8501026694045175,0.8501026694045175,0.8501026694045175
macro avg,0.7718568107998393,0.7314376841781492,0.7342156285980349,487.0
weighted avg,0.8466452184259554,0.8501026694045175,0.8442015559524415,487.0
