,Công đoàn,Giáo dục,Giải trí,Khoa học,Kinh doanh,Pháp luật,Sức khỏe,Thế giới,Thể thao,Thời sự,Xe,Xã hội,Đời sống
Công đoàn,3,0,0,0,1,0,0,0,0,1,1,0,0
Giáo dục,0,75,0,1,0,0,1,0,0,0,0,0,2
Giải trí,0,0,14,0,1,0,0,0,0,0,0,0,0
Khoa học,0,2,0,67,6,0,0,0,1,0,0,0,1
Kinh doanh,0,1,2,2,156,2,0,0,0,1,0,0,2
Pháp luật,0,1,0,0,1,17,0,0,0,2,1,0,0
Sức khỏe,0,1,0,0,4,0,23,0,0,0,0,0,0
Thế giới,0,0,0,3,1,0,3,8,0,0,0,0,1
Thể thao,0,0,0,0,0,0,1,0,21,0,0,0,0
Thời sự,0,1,0,1,2,3,0,0,1,15,0,2,1
Xe,0,0,0,0,0,0,0,0,0,0,3,0,0
Xã hội,0,0,0,0,1,0,1,1,0,2,0,1,0
Đời sống,0,0,0,3,2,3,0,0,0,2,0,0,11
